AGNname,galaxyName,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,inclination (deg),positionAngle (deg),RC3pa (deg),azimuth (deg),RC3type,morphology,galaxyRedshift,AGNredshift,spectrumStatus,groups_dist_std (Mpc)
2dFGRS_S393Z082,NGC1097,"('41.25333', '-30.12306')","('41.57937', '-30.27489')",111.9452231,1029.79,20.038,54.21,36.72,x,47,x,130,11.7,.SBS3..,(R'_1:)SB(r'l)bSy1,0.00424,0.34,NP,"[('LGG75', '15.658702662', '1.04018541869'), ('UZC1098', '15.4523017025', '0.355820702534')]"
MS0244.6-3020,NGC1097,"('41.70792', '-30.12833')","('41.57937', '-30.27489')",64.31895771,1029.79,20.038,54.21,36.72,x,47,x,130,87.2,.SBS3..,(R'_1:)SB(r'l)bSy1,0.00424,0.528,NP,"[('LGG75', '15.658702662', '1.04018541869'), ('UZC1098', '15.4523017025', '0.355820702534')]"
HE0241-3043,NGC1097,"('40.90708', '-30.51333')","('41.57937', '-30.27489')",219.2801417,1029.79,20.038,54.21,36.72,x,47,x,130,62.4,.SBS3..,(R'_1:)SB(r'l)bSy1,0.00424,0.67,NP,"[('LGG75', '15.658702662', '1.04018541869'), ('UZC1098', '15.4523017025', '0.355820702534')]"
QSO0246-3050,NGC1097,"('42.09208', '-30.63528')","('41.57937', '-30.27489')",199.4426629,1029.79,20.038,54.21,36.72,x,47,x,130,0.8,.SBS3..,(R'_1:)SB(r'l)bSy1,0.00424,1.093,NP,"[('LGG75', '15.658702662', '1.04018541869'), ('UZC1098', '15.4523017025', '0.355820702534')]"
SDSSJ091235.40+295725.0,NGC2783B,"('138.1475', '29.95694')","('138.38813', '30.00014')",364.1807246,6959.71,98.02402138,53.7,11.81,1.603,77,75,-99,3.3,.S?....,Sbc            LINER,0.022542,0.305,DG,[]
SDSSJ130524.30+035731.0,UGC08186,"('196.35125', '3.95861')","('196.49433', '3.95644')",248.6567219,7298.15,99.8,52.84,12.68,1.1492,76,105,x,14.1,x,Scd(f),0.023369,0.545,RT,[]
PG1309+355,NGC5033,"('198.07375', '35.25556')","('198.36444', '36.59394')",465.8620131,1145,19.642,52.58,23.66,0.0593,63,175,170,15.1,.SAS5..,SA(s)c         Sy1.9,0.002919,0.184,DG,[]
RX_J1236.0+2641,NGC4555,"('189.01708', '26.69333')","('188.92157', '26.52312')",326.4847135,6974.42,98.23124879,52.48,39.88,1.9219,40,120,125,86.6,.E.....,E,0.022292,0.209,DG,[]
SDSSJ112632.90+120437.0,NGC3628,"('171.63708', '12.07694')","('170.07071', '13.58968')",423.9446603,1130.98,11.3,52.45,12.59,0.0438,76,104,104,30.6,.S..3P/,SAb pec sp;HII LINER,0.002812,0.977,PL,[]
TON694,NGC4944,"('195.80417', '28.18556')","('195.95812', '28.18573')",223.4111352,7275.14,94.333,52.37,15.71,6.4603,72,85,89,4.9,.S..0$/,SA0,0.023313,1.302,PL,[]
TON488,UGC05481,"('152.50292', '30.05583')","('152.46429', '30.32078')",429.8040292,6547.35,92.21623544,52.31,13.6,1.676,74,90,91,82.8,.S..1*.,Sa:,0.021031,0.2564,SP,[]
PG1425+267,IC4436,"('216.89875', '26.53722')","('216.99243', '26.5045')",220.2676663,9958.09,140.2547749,52.09,47.92,4.4881,23,55,x,56.3,x,E?,0.032362,0.366,RT,[]
SDSSJ121903.98+152608.5,NGC4302,"('184.76625', '15.43556')","('185.427', '14.59831')",457.1389915,1448.79,24.88,51.75,6.21,0.6449,83,178,178,35.3,.S..5*/,Sc: sp;Sy      LINER,0.003833,0.1957,DG,[]
SDSSJ143004.07+022213.3,UGC09292,"('217.51667', '2.37028')","('217.29438', '2.287')",481.4902932,8257.38,116.301145,51.54,16.49,2.3384,71,15,x,54.4,x,SABb,0.026695,0.353248,RT,[]
SBS0957+599,MCG+10-14-058,"('150.26083', '59.7375')","('150.2715', '59.824')",206.1669176,9677.17,136.2981995,50.81,16.26,0.4571,71,165,x,18.6,x,x,0.031692,0.752,DG,[]
SDSSJ135341.03+361948.0,NGC5352,"('208.42083', '36.33')","('208.41013', '36.13405')",396.6731036,8227.12,115.8748644,50.78,39.61,5.0902,38,90,-99,87.5,.L..-*.,S0-:,0.026578,0.147,PL,[]
CSO1022,NGC5352,"('208.35833', '36.34694')","('208.41013', '36.13405')",438.7607249,8227.12,115.8748644,50.78,39.61,5.0902,38,90,-99,78.9,.L..-*.,S0-:,0.026578,0.284,PL,[]
SDSSJ121903.98+152608.5,UGC07450,"('184.76625', '15.43556')","('185.72846', '15.82182')",279.2944279,1870.57,15.94,50.37,39.29,3.8481,38,108,30,40.6,.SXS4..,SAB(s)bc;LINER HII,0.00524,0.1957,DG,"[('GH106', '23.4574551232', '8.62005281937'), ('LGG289', '22.1144432491', '3.44045702438'), ('UZC490', '23.0327759438', '9.3330876306')]"
RX_J1221.0+1554,UGC07450,"('185.26042', '15.91306')","('185.72846', '15.82182')",127.7960497,1870.57,15.94,50.37,39.29,3.8481,38,108,30,6.5,.SXS4..,SAB(s)bc;LINER HII,0.00524,0.231,RT,"[('GH106', '23.4574551232', '8.62005281937'), ('LGG289', '22.1144432491', '3.44045702438'), ('UZC490', '23.0327759438', '9.3330876306')]"
NGC6090,NGC6090NED02,"('242.9175', '52.45639')","('242.92007', '52.45748')",4.213591233,8983.52,126.5284009,50.24,45.22,0.613,25,125,-99,69.8,.L?....,Sd pec;WR      HII,0.029456,0.0302,DG,[]
US2816,UGC06664,"('175.55125', '30.27028')","('175.575', '30.23028')",110.1386926,9966.61,140.3748534,48.66,12.65,2.0162,74,100,102,52.9,.S..6*.,Sc,0.032306,0.479,RT,[]
MRK1014,NGC0768,"('29.95917', '0.39472')","('29.67056', '0.52922')",486.1589792,6752.26,87.483,48.61,14.51,0.6727,72,x,30,85,.SBR4*.,SB(r)bc:,0.023419,0.163,SP,[]
RBS1768,RFGC3781,"('324.70708', '-38.47778')","('324.43825', '-38.49256')",464.166338,8951.06,126.0713339,48.41,7.7,1.2132,80,x,x,x,x,Sb,0.030561,0.183,NP,[]
TON576,NGC3612,"('169.47625', '26.57111')","('169.56133', '26.62056')",192.6865883,8638.76,121.6726886,48.25,43.43,3.1001,25,145,160,88,.S..8*.,Sdm:,0.027883,0.422,DG,[]
NGC4670,NGC4725,"('191.32083', '27.12528')","('192.61076', '25.5008')",474.5753668,1497.45,13.637,48.2,25.06,0.1996,58,50,35,85.2,.SXR2P.,SAB(r)ab pec   Sy2,0.004023,0.0036,DG,[]
RX_J1503.2+6810,CGCG318-012,"('225.81875', '68.16833')","('225.56167', '68.26181')",325.4494668,9911.79,139.60269,47.65,30.5,8.4956,50,135,x,0.6,x,x,0.032573,0.114,SP,[]
LBQS1222+0901,UGC07629,"('186.33417', '8.74722')","('187.44484', '8.00048')",370.9992334,1295.87,16,47.47,38.63,0.0078,35,x,155,30.8,.E.2...,E2/S0;Sy2      LINER,0.003326,0.535,RT,"[('GH106', '23.4574551232', '8.62005281937'), ('LGG292', '17.2852113603', '2.24885645957')]"
SDSSJ123426.80+072411.0,UGC07629,"('188.61167', '7.40306')","('187.44484', '8.00048')",363.4510069,1295.87,16,47.47,38.63,0.0078,35,x,155,37.7,.E.2...,E2/S0;Sy2      LINER,0.003326,0.844,RT,"[('GH106', '23.4574551232', '8.62005281937'), ('LGG292', '17.2852113603', '2.24885645957')]"
RX_J1356.4+2515,IC4349,"('209.10667', '25.25639')","('208.94309', '25.1519')",424.9066813,9540.65,134.3754189,45.8,22.9,7.2648,60,120,x,65.2,x,x,0.030913,0.165,DG,[]
NGC3227,NGC3222,"('155.8775', '19.86556')","('155.64379', '19.88703')",317.2001935,5843.18,82.29824671,45.57,26.88,3.1755,53,60,-99,35.6,.LB..*.,SB0:,0.01863,0.0039,RT,[]
SDSSJ105958.90+251709.0,UGC06063,"('164.99542', '25.28583')","('164.6903', '25.14094')",484.7963562,6325.78,89.09551182,45.27,8.15,0.9071,79,65,x,2.7,x,Sc,0.020187,0.662,DG,[]
FBQSJ1134+2555,IC0710,"('173.74', '25.92444')","('173.61421', '25.87648')",293.8479295,9726.46,136.992387,44.5,23.14,x,58,0,x,67,x,x,0.031491,0.714,DG,[]
NVSSJ152511-171436,FGC1895,"('231.3', '-17.24389')","('231.43096', '-17.24122')",222.9824381,7250.77,102.1235119,43.87,14.04,x,71,85,x,3.8,x,Sc             HII,0.02359,0.0497,SP,[]
PG1302-102,NGC4939,"('196.3875', '-10.55556')","('196.05996', '-10.33961')",264.7658706,3381.83,39.118,43.66,30.12,8.3182,46,5,10,61.2,.SAS4..,SA(s)bc        Sy2,0.010374,0.2784,MS,[]
US136,NGC4907,"('195.25333', '28.32889')","('195.20335', '28.15834')",266.9703587,6165.69,86.84073139,43.45,19.12,0.2311,63,30,-99,15.5,.SBR3..,SB(r)b,0.01961,1.36,PL,"[('UZC508', '102.639373729', '12.3728531706')]"
LBQS1206+1052,NGC4178,"('182.35', '10.60361')","('183.19354', '10.86597')",257.9301553,673.24,17,43.36,7.81,0.7992,79,30,30,42.4,.SBT8..,SB(rs)dm       HII,0.001248,0.396,RT,[]
RX_J1218.8+1015,NGC4178,"('184.71042', '10.26528')","('183.19354', '10.86597')",476.9834421,673.24,17,43.36,7.81,0.7992,79,30,30,81.9,.SBT8..,SB(rs)dm       HII,0.001248,0.542,RT,[]
MRK61,CGCG160-107,"('195.42292', '29.38111')","('195.5175', '29.25345')",297.084779,7599.95,112,43.28,11.25,1.6878,74,160,x,12.8,x,S0a,0.0244,0.0574,DG,"[('UZC508', '102.639373729', '12.3728531706')]"
SDSSJ122018.43+064119.6,NGC4365,"('185.07667', '6.68861')","('186.11785', '7.31767')",459.3613342,1541.54,21.755,43.24,32,0.2128,42,45,40,13.7,.E.3...,E3,0.004146,0.287,RT,[]
SDSSJ154121.50+281706.0,CGCG166-030NED01,"('235.33958', '28.285')","('235.14696', '28.36066')",456.7874448,10007.84,140.9555258,42.57,30.66,0.148,43,150,x,36,x,S0,0.032706,0.376,RT,"[('UZC718', '140.4015574', '0.944068630491')]"
CG192,UGC07897,"('190.98125', '29.37139')","('190.86953', '29.4668')",343.7055333,9646.95,144.5,42.17,17.71,2.0868,65,40,x,85.6,x,Sc,0.031222,0.0574,DG,[]
NGC6376,NGC6377,"('261.33', '58.81667')","('261.34672', '58.82275')",22.85143623,8787.74,123.7709384,42.12,14.32,x,70,65,x,10.1,x,Sa,0.028987,0.0285,SP,[]
SDSSJ121640.60+071224.0,NGC4246,"('184.16917', '7.20667')","('184.49216', '7.18591')",333.6953643,4018.26,59.54,42.12,37.06,2.472,28,90,83,3.7,.SAS5..,SA(s)c,0.012409,0.587,RT,[]
SDSSJ111244.05+550347.0,UGC06225,"('168.18333', '55.06306')","('167.87904', '55.67411')",158.7178028,910.44,14.32,41.82,9.2,0.2109,77,83,80,81.1,.SBS6./,SB(s)cd        HII,0.002332,0.1315,DG,"[('GH94', '17.4955843309', '5.4778720986')]"
SBS1108+560,UGC06225,"('167.88375', '55.79028')","('167.87904', '55.67411')",29.04206628,910.44,14.32,41.82,9.2,0.2109,77,83,80,81.7,.SBS6./,SB(s)cd        HII,0.002332,0.765,DG,"[('GH94', '17.4955843309', '5.4778720986')]"
CG963,IC4088,"('195.60625', '28.85861')","('195.43072', '29.04467')",425.8891737,7380.31,101.14,41.73,15.86,1.587,67,85,89,55.4,.S..2..,Sab            Sbrst,0.023666,0.022,DG,[]
SDSSJ091113.34+183108.1,NGC2774,"('137.80542', '18.51889')","('137.66635', '18.69659')",487.724753,8967.8,126.3070242,41.21,39.56,0.1073,16,175,x,31.6,x,x,0.029237,0.2622,DG,[]
SDSSJ124423.37+021540.4,NGC4636,"('191.09708', '2.26111')","('190.70761', '2.68778')",163.6738225,1232.53,16.24,41.02,34.46,2.8236,32,143,150,5.4,.E.0+..,E/S0_1;LINER   Sy3,0.003129,0.2395,DG,[]
US143,CGCG160-100,"('195.36708', '27.85194')","('195.45924', '27.89356')",176.3758915,7842.87,110.4630215,40.75,33.42,0.8792,34,35,x,27.9,x,E/SAB0,0.025204,0.243,PL,"[('UZC508', '102.639373729', '12.3728531706')]"
MRK61,IC0843,"('195.42292', '29.38111')","('195.39', '29.13061')",475.5361005,7672.22,108.0593786,40.44,21.84,2.3527,57,140,x,46.5,x,S0,0.02464,0.0574,DG,[]
RX_J1236.0+2641,IC3585,"('189.01708', '26.69333')","('189.16625', '26.82994')",356.5895446,7602.99,107.0844161,40.13,38.53,0.1568,16,90,x,45.7,x,SA(s)0^0^:,0.02439,0.209,DG,[]
TON694,NGC4931,"('195.80417', '28.18556')","('195.75365', '28.03249')",224.5377843,5729.49,80.69698984,39.91,16.43,0.0443,65,x,78,61.8,.L..../,SA0,0.018156,1.302,PL,[]
SDSSJ154121.50+281706.0,2MFGC12618,"('235.33958', '28.285')","('235.41004', '28.32047')",175.6133842,9996.98,140.8025419,39.25,10.99,x,73,105,x,44.8,x,x,0.032674,0.376,RT,[]
US136,NGC4881,"('195.25333', '28.32889')","('194.99', '28.24739')",424.0895645,7026.71,98.86,39.21,36.85,2.6428,20,15,-99,55.6,.E+....,E,0.022482,1.36,PL,[]
US143,NGC4926,"('195.36708', '27.85194')","('195.47388', '27.62445')",429.6691664,8174.22,99.933,39.2,33.71,3.0829,30,60,-99,82.5,.LA.-*.,E,0.026308,0.243,PL,[]
SDSSJ091235.40+295725.0,UGC04833,"('138.1475', '29.95694')","('137.89855', '30.07754')",486.0526562,8005.03,112.7469018,38.97,11.69,0.3916,72,140,x,20.8,x,Sa,0.026035,0.305,DG,[]
TON694,NGC4929,"('195.80417', '28.18556')","('195.68499', '28.04535')",279.8947613,6497.52,91.51432596,38.95,31.94,0.3474,34,45,-99,8.2,.E.1.*.,E1:,0.020718,1.302,PL,"[('UZC508', '102.639373729', '12.3728531706')]"
NGC7552,NGC7582,"('349.045', '-42.58472')","('349.59792', '-42.37056')",165.8090367,1323.38,20.625,38.9,10.89,1.8526,73,157,157,85.3,PSBS2..,(R'_1)SB(s)ab  Sy2,0.005254,0.0053,SP,"[('LGG472', '19.0675242541', '2.43668845184')]"
SDSSJ154121.50+281706.0,IC4569,"('235.33958', '28.285')","('235.20156', '28.29209')",299.9795628,10023.7,141.1788516,38.53,31.6,3.3326,34,110,x,16.7,x,S0?,0.032759,0.376,RT,"[('UZC718', '140.4015574', '0.944068630491')]"
SBS0335-052,NGC1376,"('54.42833', '-5.04806')","('54.27467', '-5.04275')",148.7119365,3950.29,55.633,38.43,29.98,4.0776,38,30,-99,62,.SAS6..,SA(s)cd,0.013852,1.528,DG,"[('LGG103', '54.1174432993', '1.84121103514')]"
CSO327,NGC3569,"('168.16292', '35.65778')","('168.0337', '35.45213')",438.9589704,7731.49,108.8941752,38.38,33.01,3.5662,30,50,-99,23,.LA.0..,SA0^0          PEG,0.024907,0.636,DG,[]
IRAS_F13369+2907,UGC08636,"('204.81708', '28.87361')","('204.79517', '28.95922')",216.1983229,10024.8,141.1944149,38.33,29.9,2.6032,38,140,-99,27.4,.S..4..,Sbc            Sbrst,0.032519,0.0457,DG,[]
LBQS1222+1235,UGC07654,"('186.30375', '12.31')","('187.70593', '12.39112')",403.2629046,1606.95,16.839,38.11,32.77,5.3572,30,153,-99,66.4,.E+0+P.,E+0-1 pec;NLRG Sy,0.00436,0.415,RT,"[('GH106', '23.4574551232', '8.62005281937'), ('LGG289', '22.1144432491', '3.44045702438'), ('UZC490', '23.0327759438', '9.3330876306')]"
SDSSJ124834.63+123402.9,UGC07898,"('192.14417', '12.56722')","('190.91656', '11.55271')",446.3793029,1416.17,16.272,38.07,30.84,4.9993,35,108,105,58.3,.E.2...,E2,0.003726,0.2634,DG,"[('GH106', '23.4574551232', '8.62005281937'), ('LGG292', '17.2852113603', '2.24885645957'), ('UZC490', '23.0327759438', '9.3330876306')]"
NGC3783,NGC3749,"('174.7575', '-37.73861')","('173.97171', '-37.99736')",476.721839,2885.34,40.63861772,37.83,9.46,1.724,75,x,107,39.6,.SAS1P/,SA(s)a pec sp  HII,0.009013,0.0097,NP,[]
NGC5548,CGCG133-024,"('214.49833', '25.13694')","('214.3446', '25.05282')",369.1925322,9233.25,130.0458294,37.83,16.64,x,63,145,x,86.2,x,x,0.029921,0.0172,PL,[]
UM228,NGC0078A,"('5.25417', '0.87972')","('5.10745', '0.82635')",183.7299211,4787.73,67.43287946,37.83,19.67,1.0966,58,70,80,0,.SBR0*.,SB(r)0/a:,0.016942,0.098,NP,[]
SDSSJ080838.80+051440.0,CGCG031-056,"('122.16167', '5.24444')","('122.06849', '5.21612')",223.2133956,9359.47,131.8235737,37.39,29.91,0.2088,36,85,x,12,x,x,0.030786,0.361,RT,[]
MS1217.0+0700,NGC4261,"('184.87875', '6.72611')","('184.84675', '5.82522')",492.7667708,2535.53,31.32,37.35,32.8,x,28,x,160,22,.E.2+..,E2-3;LINER     Sy3,0.007465,0.08,PL,[]
SDSSJ122018.43+064119.6,NGC4261,"('185.07667', '6.68861')","('184.84675', '5.82522')",488.2165927,2535.53,31.32,37.35,32.8,x,28,x,160,34.8,.E.2+..,E2-3;LINER     Sy3,0.007465,0.287,RT,[]
PG1216+069,NGC4261,"('184.83708', '6.64389')","('184.84675', '5.82522')",447.5462612,2535.53,31.32,37.35,32.8,x,28,x,160,19.3,.E.2+..,E2-3;LINER     Sy3,0.007465,0.3313,SP,[]
TON694,CGCG160-114,"('195.80417', '28.18556')","('195.67002', '28.37131')",416.2510428,7692.09,108.3392587,37.34,12.7,0.7627,70,125,-99,22.5,.L?....,S0,0.024704,1.302,PL,[]
US143,IC4042,"('195.36708', '27.85194')","('195.17821', '27.97139')",336.96904,6678.96,94.06984757,37.26,33.53,1.9212,25,40,-99,85.6,.LB....,SA0/a,0.021321,0.243,PL,"[('UZC508', '102.639373729', '12.3728531706')]"
PG1425+267,MCG+05-34-040,"('216.89875', '26.53722')","('216.75459', '26.46443')",351.9984979,9666.67,136.1502894,37.23,24.94,0.8104,47,x,x,x,x,x,0.031388,0.366,RT,[]
US143,NGC4927,"('195.36708', '27.85194')","('195.49', '28.00589')",372.8535467,8050.7,113.390201,37.22,26.79,2.1408,44,5,-99,30.2,.LA.-*.,SA0-:,0.025898,0.243,PL,"[('UZC508', '102.639373729', '12.3728531706')]"
NGC4486,UGC07494,"('187.70625', '12.39111')","('186.2656', '12.88698')",438.0636755,1359.99,16.838,37.19,34.22,4.2731,23,123,135,13.6,.E.1...,E1;LERG;LINER  Sy2,0.003536,0.0044,PL,"[('GH106', '23.4574551232', '8.62005281937'), ('LGG292', '17.2852113603', '2.24885645957'), ('UZC490', '23.0327759438', '9.3330876306')]"
LBQS1222+1235,UGC07494,"('186.30375', '12.31')","('186.2656', '12.88698')",169.9146876,1359.99,16.838,37.19,34.22,4.2731,23,123,135,53.3,.E.1...,E1;LERG;LINER  Sy2,0.003536,0.415,RT,"[('GH106', '23.4574551232', '8.62005281937'), ('LGG292', '17.2852113603', '2.24885645957'), ('UZC490', '23.0327759438', '9.3330876306')]"
SDSSJ135726.27+043541.4,NGC5364,"('209.35917', '4.59472')","('209.05', '5.01447')",183.1138939,1516.42,20.15,37.16,21.18,0.0329,55,48,30,84.3,.SAT4P.,SA(rs)bc pec   HII,0.00414,1.234,DG,[]
IRAS_Z06229-6434,2MASXJ06220168-6447421,"('95.78208', '-64.60528')","('95.50692', '-64.795')",426.905755,7780.47,109.5841447,37.14,17.08,6.2518,62,20,x,11.9,x,Sa,0.026165,0.1289,SP,[]
SDSSJ135341.03+361948.0,UGC08830,"('208.42083', '36.33')","('208.61844', '36.21897')",390.7395026,8185.64,115.2907095,37.11,12.62,1.3058,70,110,x,14.9,x,S,0.026442,0.147,PL,[]
CSO1022,UGC08830,"('208.35833', '36.34694')","('208.61844', '36.21897')",494.2822532,8185.64,115.2907095,37.11,12.62,1.3058,70,110,x,11.4,x,S,0.026442,0.284,PL,[]
ESO031-G08,2MASXJ03063780-7258168,"('46.89583', '-72.83444')","('46.65763', '-72.97136')",362.3977377,9586.08,135.0152784,36.92,12.55,0.1848,70,100,x,72.8,x,x,0.032409,0.0276,SP,[]
SDSSJ140347.22+062812.1,UGC08979,"('210.94667', '6.47')","('211.03192', '6.48589')",182.7580075,7709.47,121.5,36.76,9.55,x,74,15,x,64.4,x,Sbc,0.024807,0.0843,NP,[]
SDSSJ080908.13+461925.6,UGC04250,"('122.28375', '46.32389')","('122.52285', '46.19303')",498.767426,9623.36,135.5402228,36.73,16.89,3.304,62,115,-99,13.4,.S..6*.,Scd:,0.031644,0.6563,SP,[]
SDSSJ105956.10+121151.0,NGC3491,"('164.98375', '12.1975')","('165.14751', '12.16157')",268.8239082,6665.84,93.88500288,36.69,27.15,2.6779,42,140,-99,37.3,.L..-*.,S0-:,0.021301,0.993,RT,[]
NGC6365A,NGC6365B,"('260.6825', '62.16611')","('260.68138', '62.17372')",15.24882168,8132.23,114.5385144,36.65,6.66,x,79,x,31,34.9,.S..8*.,Sc(f)          HII,0.026801,0.0283,SP,[]
MS1217.0+0700,NGC4260,"('184.87875', '6.72611')","('184.84267', '6.09868')",443.1308107,2255.7,40.4,36.65,17.59,2.1297,61,45,58,41.7,.SBS1..,SB(s)a;Sy      LINER,0.006531,0.08,PL,[]
SDSSJ122018.43+064119.6,NGC4260,"('185.07667', '6.68861')","('184.84267', '6.09868')",447.1183262,2255.7,40.4,36.65,17.59,2.1297,61,45,58,23.5,.SBS1..,SB(s)a;Sy      LINER,0.006531,0.287,RT,[]
